id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
6802116,Conveniently Located Private Room + Bathroom,10803826,Nadia,,Skärholmens,59.29277,17.93269,Private room,450,3,65,2024-11-03,0.56,1,82,4,
6810026,Modern apartment close to Södermalm,30887516,José,,Skarpnäcks,59.29757,18.09722,Entire home/apt,,3,25,2024-09-30,0.22,1,0,3,
6821328,Charming house close to city centre,22831717,Petra,,Farsta,59.27841,18.0735,Entire home/apt,2640,5,47,2024-08-12,0.41,1,185,5,
6835834,Quality place  close to nature,4922434,Julia,,Skärholmens,59.27813,17.87429,Entire home/apt,790,4,247,2024-09-01,2.13,2,282,5,
6836406,Live close to the royal castle,26496190,Ingela,,Östermalms,59.33574,18.08207,Private room,900,5,14,2018-09-02,0.14,1,332,0,
6846003,"Centrally, lakeside townhouse near Globe",35871885,Mats,,Farsta,59.2516,18.11551,Entire home/apt,1757,3,36,2019-09-02,0.32,1,0,0,
6850591,Familjevänlig lägenhet i lugnt område nära city,35895348,Annelie,,Hägersten-Liljeholmens,59.30495,18.0076,Entire home/apt,950,6,26,2019-08-04,0.23,1,273,0,
6851310,Charming flat in central Stockholm,2982384,Kent,,Kungsholmens,59.33046,18.00266,Entire home/apt,,5,10,2021-08-15,0.10,1,0,0,
6867526,Light and spacious 2 BD apartment,4277881,Marcus,,Södermalms,59.31624,18.05025,Entire home/apt,2000,14,4,2015-09-15,0.03,1,358,0,
6881981,Studio Tjärhovsgatan,34678600,Anna,,Södermalms,59.31508,18.07509,Entire home/apt,725,20,47,2024-12-21,0.41,1,140,6,
6907743,Sunny Room in Central Stockholm,15009298,Julia,,Östermalms,59.35175,18.06047,Private room,422,2,58,2016-10-21,0.50,2,1,0,
6929042,Cozy Private Room with Workspace in Södermalm,738317,Ana,,Södermalms,59.3072,18.08288,Private room,855,2,28,2019-08-18,0.24,1,364,0,
6946221,"Mysig lägenhet, nära till allt",36420922,Emelie,,Hägersten-Liljeholmens,59.30471391794248,17.971793487668037,Entire home/apt,,3,0,,,1,0,0,
